Title,Artist,Genre,Plays
Golden,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,7355586
back to friends,sombr,Alternative/Indie,5247351
Ordinary,Alex Warren,Pop,4864591
DAISIES,Justin Bieber,Pop,4693184
Your Idol,Saja Boys Andrew Choi Neckwav Danny Chung Kevin Woo samUIL Lee KPop Demon Hunters Cast,K-Pop,4491836
Soda Pop,Saja Boys Andrew Choi Neckwav Danny Chung Kevin Woo samUIL Lee KPop Demon Hunters Cast,K-Pop,4096691
JUMP ,BLACKPINK,K-Pop,3924302
"Saiyaara (from ""Saiyaara"")",Tanishk Bagchi Faheem Abdullah Arslan Nizami Irshad Kamil,Bollywood,3906210
Die With A Smile,Lady Gaga Bruno Mars,Pop,3814625
How It's Done,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,3769945
BIRDS OF A FEATHER,Billie Eilish,Pop,3631050
Don't Say You Love Me,Jin,K-Pop,3548920
What It Sounds Like,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,3286920
Love Me Not,Ravyn Lenae,R&B/Soul,3266454
La Plena - W Sound 05,W Sound Beele Ovy On The Drums,Latin,3205043
Free,Rumi Jinu EJAE Andrew Choi KPop Demon Hunters Cast,K-Pop,3060130
Takedown,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,2963030
Manchild,Sabrina Carpenter,Pop,2920106
Who,Jimin,K-Pop,2806631
Beautiful Things,Benson Boone,Alternative/Indie,2733280
APT.,Rose Bruno Mars,K-Pop,2733280
Iris,The Goo Goo Dolls,Rock,2722003
undressed,sombr,Alternative/Indie,2719396
Just Keep Watching (From F1 The Movie),Tate McRae F1 The Album,Pop,2712376
Sailor Song,Gigi Perez,Alternative/Indie,2579397
WILDFLOWER,Billie Eilish,Pop,2570693
The Night We Met,Lord Huron,Alternative/Indie,2523546
Which One (feat.Central Cee),Drake Central Cee,Hip Hop/Rap,2509330
Eternity,Alex Warren,Pop,2350747
TU SANCHO,Fuerza Regida,Latin,2344357
Espresso,Sabrina Carpenter,Pop,2312282
Gabriela,KATSEYE,K-Pop,2291015
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar SZA,Hip Hop/Rap,2260130
DtMF,Bad Bunny,Latin,2226960
That's So True,Gracie Abrams,Pop,2210082
Lose Control,Teddy Swims,Pop,2180842
Yellow,Coldplay,Alternative/Indie,2166666
luther (with sza),Kendrick Lamar SZA,Hip Hop/Rap,2138630
One Of The Girls (with JENNIE Lily-Rose Depp),,R&B/Soul,2133925
Sparks,Coldplay,Alternative/Indie,2108764
Dreams-2004 Remaster,Fleetwood Mac,Rock,2091946
Timeless (feat Playboi Carti),The Weeknd Playboi Carti,R&B/Soul,2085491
Paranoid-2012-Remastered,Black Sabbath,Metal,2074562
Creep,Radiohead,Rock,2052449
Malboro Rojo,Fuerza Regida,Latin,2048776
I Wanna Be Yours,Arctic Monkeys,Alternative/Indie,2027486
no tiene sentido,Beele,Latin,2016340
BAILE INoLVIDABLE,Bad Bunny,Latin,1979306
Sweater Weather,The Neighborhood,Rock,1944371
Every Breath You Take,The Police,Rock,1940127
